MatchDateSK,Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID,IsSemiFinal,IsFinal,Season_Year
20160111,Syd Thunder,Melb Reneg,Melb Reneg,5 wickets,Sydney,11-Jan-16,897747,0,0,2015
20160113,Strikers,Hurricanes,Strikers,6 wickets,Adelaide,13-Jan-16,897749,0,0,2015
20160114,Melb Stars,Heat,Heat,56 runs,Melbourne,14-Jan-16,897751,0,0,2015
20160116,Syd Sixers,Syd Thunder,Syd Thunder,46 runs,Sydney,16-Jan-16,897753,0,0,2015
20160116,Scorchers,Melb Stars,Melb Stars,52 runs,Perth,16-Jan-16,999999,0,0,2015
20160118,Melb Reneg,Strikers,Strikers,27 runs,Melbourne (Docklands),18-Jan-16,897757,0,0,2015
20160121,Strikers,Syd Thunder,Syd Thunder,8 wickets,Adelaide,21-Jan-16,897759,1,0,2015
20160122,Melb Stars,Scorchers,Melb Stars,7 wickets,Melbourne,22-Jan-16,897761,1,0,2015
20160124,Melb Stars,Syd Thunder,Syd Thunder,3 wickets,Melbourne,24-Jan-16,897763,0,1,2015
20161220,Syd Thunder,Syd Sixers,Syd Sixers,9 wickets,Sydney,20-Dec-16,1023581,0,0,2016
20161221,Strikers,Heat,Heat,10 runs,Adelaide,21-Dec-16,1023583,0,0,2016
20161222,Melb Reneg,Syd Thunder,Melb Reneg,49 runs,Melbourne (Docklands),22-Dec-16,1023585,0,0,2016
20161223,Scorchers,Strikers,Scorchers,48 runs,Perth,23-Dec-16,1023589,0,0,2016
20161223,Syd Sixers,Hurricanes,Hurricanes,60 runs,Sydney,23-Dec-16,1023587,0,0,2016
20161226,Hurricanes,Melb Stars,Melb Stars,7 wickets,Hobart,26-Dec-16,1023591,0,0,2016
20161227,Syd Sixers,Scorchers,Syd Sixers,6 wickets,Sydney,27-Dec-16,1023593,0,0,2016
20161228,Syd Thunder,Heat,Heat,3 wickets,Sydney,28-Dec-16,1023595,0,0,2016
20161229,Melb Reneg,Scorchers,Scorchers,4 wickets,Melbourne (Docklands),29-Dec-16,1023597,0,0,2016
20161230,Heat,Hurricanes,Heat,7 wickets,Brisbane,30-Dec-16,1023599,0,0,2016
20161231,Strikers,Syd Sixers,Strikers,48 runs,Adelaide,31-Dec-16,1023601,0,0,2016
20170101,Melb Stars,Melb Reneg,Melb Reneg,7 runs,Melbourne,1-Jan-17,1023603,0,0,2016
20170101,Scorchers,Syd Thunder,Scorchers,50 runs,Perth,1-Jan-17,1023605,0,0,2016
20170102,Hurricanes,Strikers,Hurricanes,8 wickets,Hobart,2-Jan-17,1023607,0,0,2016
20170103,Heat,Syd Sixers,Syd Sixers,3 wickets,Brisbane,3-Jan-17,1023609,0,0,2016
20170104,Syd Thunder,Melb Stars,Syd Thunder,6 wickets,Sydney,4-Jan-17,1023611,0,0,2016
20170105,Scorchers,Heat,Heat,9 wickets,Perth,5-Jan-17,1023613,0,0,2016
20170106,Strikers,Hurricanes,Strikers,5 wickets,Adelaide,6-Jan-17,1023615,0,0,2016
20170107,Melb Reneg,Melb Stars,Melb Stars,46 runs,Melbourne (Docklands),7-Jan-17,1023617,0,0,2016
20170108,Hurricanes,Syd Thunder,Syd Thunder,6 wickets,Hobart,8-Jan-17,1023619,0,0,2016
20170109,Syd Sixers,Melb Reneg,Syd Sixers,6 wickets,Sydney,9-Jan-17,1023621,0,0,2016
20170110,Melb Stars,Strikers,Melb Stars,2 wickets,Melbourne,10-Jan-17,1023623,0,0,2016
20170111,Heat,Scorchers,Scorchers,27 runs,Brisbane,11-Jan-17,1023625,0,0,2016
20170112,Melb Reneg,Hurricanes,Hurricanes,2 wickets,Melbourne (Docklands),12-Jan-17,1023627,0,0,2016
20170114,Syd Sixers,Syd Thunder,Syd Thunder,8 wickets,Sydney,14-Jan-17,1023629,0,0,2016
20170114,Scorchers,Melb Stars,Melb Stars,7 wickets,Perth,14-Jan-17,1023631,0,0,2016
20170116,Strikers,Melb Reneg,Melb Reneg,6 runs,Adelaide,16-Jan-17,1023633,0,0,2016
20170117,Melb Stars,Heat,Heat,7 wickets,Melbourne,17-Jan-17,1023635,0,0,2016
20170118,Syd Thunder,Strikers,Strikers,77 runs,Sydney,18-Jan-17,1023637,0,0,2016
20170120,Heat,Melb Reneg,Melb Reneg,1 run,Brisbane,20-Jan-17,1023639,0,0,2016
20170121,Melb Stars,Syd Sixers,Syd Sixers,3 wickets,Melbourne,21-Jan-17,1023643,0,0,2016
20170121,Hurricanes,Scorchers,Scorchers,7 wickets,Hobart,21-Jan-17,1023641,0,0,2016
20170124,Scorchers,Melb Stars,Scorchers,7 wickets,Perth,24-Jan-17,1023645,1,0,2016
20170125,Heat,Syd Sixers,tied,,Brisbane,25-Jan-17,1023647,1,0,2016
20170128,Scorchers,Syd Sixers,Scorchers,9 wickets,Perth,28-Jan-17,1023649,0,1,2016
